DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
10.3390/BDCC8080087,FinSoSent: Advancing Financial Market Sentiment Analysis through Pretrained Large Language Models,"Josiel Delgadillo, Johnson Kinyua, Charles Mutigwe",Big Data and Cognitive Computing,2024,"Predicting the directions of financial markets has been performed using a variety of approaches, and the large volume of unstructured data generated by traders and other stakeholders on social media microblog platforms provides unique opportunities for analyzing financial markets using additional perspectives. Pretrained large language models (LLMs) have demonstrated very good performance on a variety of sentiment analysis tasks in different domains. However, it is known that sentiment analysis is a very domain-dependent NLP task that requires knowledge of the domain ontology, and this is particularly the case with the financial domain, which uses its own unique vocabulary. Recent developments in NLP and deep learning including LLMs have made it possible to generate actionable financial sentiments using multiple sources including financial news, company fundamentals, technical indicators, as well social media microblogs posted on platforms such as StockTwits and X (formerly Twitter). We developed a financial social media sentiment analyzer (FinSoSent), which is a domain-specific large language model for the financial domain that was pretrained on financial news articles and fine-tuned and tested using several financial social media corpora. We conducted a large number of experiments using different learning rates, epochs, and batch sizes to yield the best performing model. Our model outperforms current state-of-the-art FSA models based on over 860 experiments, demonstrating the efficacy and effectiveness of FinSoSent. We also conducted experiments using ensemble models comprising FinSoSent and the other current state-of-the-art FSA models used in this research, and a slight performance improvement was obtained based on majority voting. Based on the results obtained across all models in these experiments, the significance of this study is that it highlights the fact that, despite the recent advances of LLMs, sentiment analysis even in domain-specific contexts remains a difficult research problem.",bbab7d0c-73bd-484e-ac70-06e589aff8d8,17,0,(missing PubMedId)
10.48550/ARXIV.2403.12285,FinLlama: Financial Sentiment Classification for Algorithmic Trading Applications,"Thanos D. Konstantinidis, Giorgos Iacovides, Mingxue Xu, Tony G. Constantinides, Danilo P. Mandic",arXiv.org,2024,"There are multiple sources of financial news online which influence market movements and trader's decisions. This highlights the need for accurate sentiment analysis, in addition to having appropriate algorithmic trading techniques, to arrive at better informed trading decisions. Standard lexicon based sentiment approaches have demonstrated their power in aiding financial decisions. However, they are known to suffer from issues related to context sensitivity and word ordering. Large Language Models (LLMs) can also be used in this context, but they are not finance-specific and tend to require significant computational resources. To facilitate a finance specific LLM framework, we introduce a novel approach based on the Llama 2 7B foundational model, in order to benefit from its generative nature and comprehensive language manipulation. This is achieved by fine-tuning the Llama2 7B model on a small portion of supervised financial sentiment analysis data, so as to jointly handle the complexities of financial lexicon and context, and further equipping it with a neural network based decision mechanism. Such a generator-classifier scheme, referred to as FinLlama, is trained not only to classify the sentiment valence but also quantify its strength, thus offering traders a nuanced insight into financial news articles. Complementing this, the implementation of parameter-efficient fine-tuning through LoRA optimises trainable parameters, thus minimising computational and memory requirements, without sacrificing accuracy. Simulation results demonstrate the ability of the proposed FinLlama to provide a framework for enhanced portfolio management decisions and increased market returns. These results underpin the ability of FinLlama to construct high-return portfolios which exhibit enhanced resilience, even during volatile periods and unpredictable market events.",9768b516-f23f-4aef-97d1-6756ac86292f,28,26,(missing PubMedId)
10.3390/BDCC8060063,LLMs and NLP Models in Cryptocurrency Sentiment Analysis: A Comparative Classification Study,"Konstantinos I. Roumeliotis, Nikolaos D. Tselikas, Dimitrios Κ. Nasiopoulos",Big Data and Cognitive Computing,2024,"Cryptocurrencies are becoming increasingly prominent in financial investments, with more investors diversifying their portfolios and individuals drawn to their ease of use and decentralized financial opportunities. However, this accessibility also brings significant risks and rewards, often influenced by news and the sentiments of crypto investors, known as crypto signals. This paper explores the capabilities of large language models (LLMs) and natural language processing (NLP) models in analyzing sentiment from cryptocurrency-related news articles. We fine-tune state-of-the-art models such as GPT-4, BERT, and FinBERT for this specific task, evaluating their performance and comparing their effectiveness in sentiment classification. By leveraging these advanced techniques, we aim to enhance the understanding of sentiment dynamics in the cryptocurrency market, providing insights that can inform investment decisions and risk management strategies. The outcomes of this comparative study contribute to the broader discourse on applying advanced NLP models to cryptocurrency sentiment analysis, with implications for both academic research and practical applications in financial markets.",f618651b-8f5e-4df0-9e03-e679626bc882,30,58,(missing PubMedId)
10.1145/3604237.3626843,FinBERT-FOMC: Fine-Tuned FinBERT Model with Sentiment Focus Method for Enhancing Sentiment Analysis of FOMC Minutes,"Sandro Gössi, Ziwei Chen, Wonseong Kim, Bernhard Bermeitinger, Siegfried Handschuh",International Conference on AI in Finance,2023,"In this research project, we used the financial texts published by the Federal Open Market Committee (FOMC), known as the FOMC Minutes, for sentiment analysis. The pre-trained FinBERT model, a state-of-the-art transformer-based model trained for NLP tasks in finance, was utilized for that. The focus of this research has been on improving the predictive performance of complex financial sentences, as our problem analysis has shown that such sentences pose a significant challenge to existing models. To accomplish this objective the original FinBERT model was fine-tuned for domain-specific sentiment analysis. A strategy, referred to as Sentiment Focus (SF) was utilized to reduce the complexity of sentences, making them more amenable to accurate sentiment predictions. To evaluate the efficacy of our method, we curated a manually labeled test dataset comprising 1375 entries. The results demonstrated an overall improvement of in accuracy when using SF-enhanced fine-tuned FinBERT over the original FinBERT model. In cases of complex sentences containing conjunctions like but, while, and though with contradicting sentiments, our fine-tuned model outperformed the original FinBERT by a margin of .",1e78da0e-1df7-41b4-af96-dae0fc829187,31,12,(missing PubMedId)
10.3390/BDCC8110143,"Innovative Sentiment Analysis and Prediction of Stock Price Using FinBERT, GPT-4 and Logistic Regression: A Data-Driven Approach","Olamilekan Shobayo, Sidikat Adeyemi-longe, Olusogo Popoola, Bayode Ogunleye",Big Data and Cognitive Computing,2024,"This study explores the comparative performance of cutting-edge AI models, i.e., Finaance Bidirectional Encoder representations from Transsformers (FinBERT), Generatice Pre-trained Transformer GPT-4, and Logistic Regression, for sentiment analysis and stock index prediction using financial news and the NGX All-Share Index data label. By leveraging advanced natural language processing models like GPT-4 and FinBERT, alongside a traditional machine learning model, Logistic Regression, we aim to classify market sentiment, generate sentiment scores, and predict market price movements. This research highlights global AI advancements in stock markets, showcasing how state-of-the-art language models can contribute to understanding complex financial data. The models were assessed using metrics such as accuracy, precision, recall, F1 score, and ROC AUC. Results indicate that Logistic Regression outperformed the more computationally intensive FinBERT and predefined approach of versatile GPT-4, with an accuracy of 81.83% and a ROC AUC of 89.76%. The GPT-4 predefined approach exhibited a lower accuracy of 54.19% but demonstrated strong potential in handling complex data. FinBERT, while offering more sophisticated analysis, was resource-demanding and yielded a moderate performance. Hyperparameter optimization using Optuna and cross-validation techniques ensured the robustness of the models. This study highlights the strengths and limitations of the practical applications of AI approaches in stock market prediction and presents Logistic Regression as the most efficient model for this task, with FinBERT and GPT-4 representing emerging tools with potential for future exploration and innovation in AI-driven financial analytics.",e85cd072-a59e-4ce3-bd55-127b068ec65e,27,20,(missing PubMedId)
10.3390/AXIOMS12090835,Forecasting the S&P 500 Index Using Mathematical-Based Sentiment Analysis and Deep Learning Models: A FinBERT Transformer Model and LSTM,"Jihwan Kim, Hui-Sang Kim, Sun‐Yong Choi",Axioms,2023,"Stock price prediction has been a subject of significant interest in the financial mathematics field. Recently, interest in natural language processing models has increased, and among them, transformer models, such as BERT and FinBERT, are attracting attention. This study uses a mathematical framework to investigate the effects of human sentiment on stock movements, especially in text data. In particular, FinBERT, a domain-specific language model based on BERT tailored for financial language, was employed for the sentiment analysis on the financial texts to extract sentiment information. In this study, we use “summary” text data extracted from The New York Times, representing concise summaries of news articles. Accordingly, we apply FinBERT to the summary text data to calculate sentiment scores. In addition, we employ the LSTM (Long short-term memory) methodology, one of the machine learning models, for stock price prediction using sentiment scores. Furthermore, the LSTM model was trained by stock price data and the estimated sentiment scores. We compared the predictive power of LSTM models with and without sentiment analysis based on error measures such as MSE, RMSE, and MAE. The empirical results demonstrated that including sentiment scores through the LSTM model led to improved prediction accuracy for all three measures. These findings indicate the significance of incorporating news sentiment into stock price predictions, shedding light on the potential impact of psychological factors on financial markets. By using the FinBERT transformer model, this study aimed to investigate the interplay between sentiment and stock price predictions, contributing to a deeper understanding of mathematical-based sentiment analysis in finance and its role in enhancing forecasting in financial mathematics. Furthermore, we show that using summary data instead of entire news articles is a useful strategy for mathematical-based sentiment analysis.",522e7ca0-f058-4403-bb33-e087d02b3301,46,74,(missing PubMedId)
10.1109/ICPICS62053.2024.10796670,Financial Sentiment Analysis on News and Reports Using Large Language Models and FinBERT,"Yaoxin Shen, PeiWen Zhang","2022 IEEE 4th International Conference on Power, Intelligent Computing and Systems (ICPICS)",2024,(missing abstract),4da153e7-c99b-4ea1-9a98-80299f369b5c,7,0,(missing PubMedId)
10.1109/IDCIOT64235.2025.10915080,Advanced Financial Sentiment Analysis Using FinBERT to Explore Sentiment Dynamics,"S Baghavathi Priya,  Manish Kumar,  Nitheesh Prakash J D,  N. Krithika",2025 3rd International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),2025,"This research investigates the incorporation of sophisticated Natural Language Processing (NLP) methods in the intricate field of finance. In particular, it utilizes FinBERT, a tailored language model created to understand the complex subtleties of financial text data, in conjunction with assessments of DistilBERT and Bidirectional Encoder Representations from Transformers (BERT). The main goal is to create a strong preprocessing framework that improves the interpretative ability of models for sentiment classification designed for financial uses while providing an in-depth evaluation of the comparative performance of the models. Through extensive empirical validation, our approach demonstrates that FinBERT outperforms the other models in accurately capturing subtle sentiment variations and financial terminology. The comparative study underlines the compromises between computational efficiency and precision, with DistilBERT providing a streamlined option. This research emphasizes FinBERT's transformative capabilities in analyzing financial sentiment and simultaneously delivering essential insights into the comparative strengths and weaknesses of other approaches, presenting a comprehensive viewpoint to inform decision-making within the financial sector. Upon comprehensive analysis of the methods used in this paper, it is shown that FinBERT is best at capturing hidden features within the data and able to work well with unseen data also with an average accuracy of 89.6% over all the 3 classes that are present in the dataset. The suggested framework has the potential to greatly improve predictive analytics and risk management approaches, allowing for more informed, precise, and prompt financial decisions in intricate market conditions.",c334548a-e7bf-4292-94e2-7daa86dc3f3a,3,24,(missing PubMedId)
10.2139/SSRN.4028072,FinEAS: Financial Embedding Analysis of Sentiment,"Asier Gutiérrez-Fandiño, Petter N. Kolm, Miquel Noguer i Alonso, Jordi Armengol-Estapé",SSRN Electronic Journal,2021,"In this article, the authors introduce a new language representation model for sentiment analysis of financial text called financial embedding analysis of sentiment (FinEAS). The new approach is based on transformer language models that are explicitly developed for sentence-level analysis. By building upon Sentence-BERT, a sentence-level extension of vanilla BERT, the authors argue that the new approach produces sentence embeddings of higher quality that significantly improve sentence/document-level tasks such as financial sentiment analysis. Using a large-scale financial news dataset from RavenPack, they demonstrate that for financial sentiment analysis the new model outperforms several state-of-the-art models such as BERT, a bidirectional LSTM, and FinBERT, a financial-domain-specific BERT. The authors make the model code publicly available.",e12ce433-ea06-48ba-bf65-2659c99d27ae,12,25,(missing PubMedId)
10.1002/ISAF.70015,FinSentiment: Predicting Financial Sentiment Through Transfer Learning,"Zehra Erva Ergun,  Emre Sefer",Intelligent Systems in Accounting Finance & Management,2025,"ABSTRACT There is an increasing interest in financial text mining tasks. Significant progress has been made by using deep learning‐based models on a generic corpus, which also shows reasonable results on financial text mining tasks such as financial sentiment analysis. However, financial sentiment analysis is still demanding work because of the insufficiency of labeled data for the financial domain and its specialized language. General‐purpose deep learning methods are not as effective mainly due to specialized language used in the financial context. In this study, we focus on enhancing the performance of financial text mining tasks by improving the existing pretrained language models via NLP transfer learning. Pretrained language models demand a small quantity of labeled samples, and they could be enhanced to a greater extent by training them on domain‐specific corpora instead. We propose an enhanced model FinSentiment, which incorporates enhanced versions of a number of recently proposed pretrained models, such as BERT, XLNet, RoBERTa, GPT, Llama, and T5, to better perform across NLP tasks in financial domain by training these models on financial domain corpora. The corresponding finance‐specific models in FinSentiment are called Fin‐BERT, Fin‐XLNet, Fin‐RoBERTa, Fin‐GPT, Fin‐Llama, and Fin‐T5, respectively. We also propose variants of these models jointly trained over financial domain and general corpora. Our finance‐specific FinSentiment models, in general, show the best performance across three financial sentiment analysis datasets, even when only a subpart of these models is fine‐tuned with a smaller training set. Our results exhibit enhancement for each tested performance criteria on the existing results for these datasets. Extensive experimental results demonstrate the effectiveness and robustness of especially RoBERTa pretrained on financial corpora. Overall, we show that NLP transfer learning techniques are favorable solutions to financial sentiment analysis tasks. Our source code has been deposited at https://github.com/seferlab/finsentiment .",ac89af7c-d4e9-40ca-abaf-ccf6db716235,4,105,(missing PubMedId)
10.1007/S10614-025-10901-8,Enhancing Sentiment Analysis in Stock Market Tweets Through BERT-Based Knowledge Transfer,"Emre Cicekyurt,  Gokhan Bakal",Computational Economics,2025,"
 
 One of the widely studied text classification efforts is sentiment analysis. It is a specific examination involving natural language processing and machine learning methods to understand semantic orientation from textual data. Working social media posts, such as tweets, for sentiment analysis, is quite common among researchers due to the speed of information dissemination. In this regard, forecasting stock market tweets is a widely studied research topic. Some studies have revealed a strong connection between sentiment and stock market performance, while others have not found any notable associations. The proposed work shows two distinct approaches to sentiment analysis over the stock market tweets. The first approach employs traditional machine learning algorithms, including logistic regression, random forest, and XGBoost. The second approach constructs deep learning (as a subfield of machine learning) models using LSTM and CNN algorithms to classify the test instances into positive, negative, or neutral classes through ten randomly shuffled data splits. In this study, the labeled data size is gradually increased utilizing a pre-trained model, FinBERT. It is exclusively employed to label unlabeled data instances to integrate them into the experiments. The goal is to monitor the effect of the additional newly-labeled examples on the sentiment analysis performance. The experiments showed that the average F1-score improved by 20% for the deep learning models and 17% for the machine learning models. In the end, the paper reveals a strong positive correlation between training data size and the classification performance of the experimental approaches.
",551b87f3-99f7-4ff3-8baf-6d830628182b,8,50,(missing PubMedId)
10.3390/IJFS13020075,Financial Sentiment Analysis and Classification: A Comparative Study of Fine-Tuned Deep Learning Models,"Dimitrios Κ. Nasiopoulos,  Konstantinos I. Roumeliotis,  Δαμιανός Π. Σακάς,  Kanellos Toudas,  Panagiotis Reklitis",International Journal of Financial Studies,2025,"Financial sentiment analysis is crucial for making informed decisions in the financial markets, as it helps predict trends, guide investments, and assess economic conditions. Traditional methods for financial sentiment classification, such as Support Vector Machines (SVM), Random Forests, and Logistic Regression, served as our baseline models. While somewhat effective, these conventional approaches often struggled to capture the complexity and nuance of financial language. Recent advancements in deep learning, particularly transformer-based models like GPT and BERT, have significantly enhanced sentiment analysis by capturing intricate linguistic patterns. In this study, we explore the application of deep learning for financial sentiment analysis, focusing on fine-tuning GPT-4o, GPT-4o-mini, BERT, and FinBERT, alongside comparisons with traditional models. To ensure optimal configurations, we performed hyperparameter tuning using Bayesian optimization across 100 trials. Using a combined dataset of FiQA and Financial PhraseBank, we first apply zero-shot classification and then fine tune each model to improve performance. The results demonstrate substantial improvements in sentiment prediction accuracy post-fine-tuning, with GPT-4o-mini showing strong efficiency and performance. Our findings highlight the potential of deep learning models, particularly GPT models, in advancing financial sentiment classification, offering valuable insights for investors and financial analysts seeking to understand market sentiment and make data-driven decisions.",81e63d89-0558-46c4-88e4-74f6c9602107,3,37,(missing PubMedId)
10.48550/ARXIV.2401.05215,Pre-trained Large Language Models for Financial Sentiment Analysis,"Wei Luo, Dihong Gong",arXiv.org,2024,"Financial sentiment analysis refers to classifying financial text contents into sentiment categories (e.g. positive, negative, and neutral). In this paper, we focus on the classification of financial news title, which is a challenging task due to a lack of large amount of training samples. To overcome this difficulty, we propose to adapt the pretrained large language models (LLMs) [1, 2, 3] to solve this problem. The LLMs, which are trained from huge amount of text corpora,have an advantage in text understanding and can be effectively adapted to domain-specific task while requiring very few amount of training samples. In particular, we adapt the open-source Llama2-7B model (2023) with the supervised fine-tuning (SFT) technique [4]. Experimental evaluation shows that even with the 7B model (which is relatively small for LLMs), our approach significantly outperforms the previous state-of-the-art algorithms.",c2e7b55d-5d0e-4da4-bd8c-18f0ce5b559d,7,27,(missing PubMedId)
10.1109/IDCIOT64235.2025.10914764,"Comparative Advances in Financial Sentiment Analysis:A Review of BERT,FinBert, and Large Language Models","M. Mahendran,  Akilesh Gokul,  P Sree Lakshmi,  S. Pavithra",2025 3rd International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),2025,"Capturing market sentiments and supporting well-informed financial decision-making depend on the developing field of Financial Sentiment Analysis (FSA). Natural language processing (NLP) has made significant strides in comprehending and categorizing sentiment in intricate financial texts, especially with the use of Large Language Models (LLMs). The application of various LLMs, such as Bidirectional Encoder Representations form Transformers(BERT) and Financial BERT (FinBERT), as well as distilled models, such as DistilBERT and DistilRoBERTa, on a variety of financial datasets, including Financial Phrase Bank and LexisNexis news articles, was the main focus of this review article. highlighting different approaches such as model fine-tuning, zero-shot and few-shot learning, and prompt engineering. The study focuses on practical model predictions through a case study of sentimental analysis of cryptocurrencies. While FinBERT, a financial variant of BERT, exhibits high accuracy and robustness, other LLMs exhibit varying degrees of success based on the dataset and domain requirements. The analysis concentrates on the difficulties, compromises, and potential paths for improving LLMs for financial sentiment analysis.",e3f82bc4-9db7-4d34-b4a1-5cb9b989b7e0,2,30,(missing PubMedId)
