,regime,from_regime,to_regime
2011-08-04,elevated,normal,elevated
2011-08-09,high_volatility,elevated,high_volatility
2011-08-24,normal,high_volatility,normal
2011-10-12,elevated,normal,elevated
2011-10-14,normal,elevated,normal
2011-11-21,elevated,normal,elevated
2011-11-22,normal,elevated,normal
2011-12-09,elevated,normal,elevated
2011-12-12,normal,elevated,normal
2012-01-03,elevated,normal,elevated
2012-01-04,normal,elevated,normal
2012-01-18,elevated,normal,elevated
2012-01-23,normal,elevated,normal
2012-03-05,elevated,normal,elevated
2012-03-07,normal,elevated,normal
2012-03-09,elevated,normal,elevated
2012-03-12,normal,elevated,normal
2012-04-12,elevated,normal,elevated
2012-04-17,normal,elevated,normal
2012-04-30,elevated,normal,elevated
2012-05-01,normal,elevated,normal
2012-05-03,elevated,normal,elevated
2012-05-07,normal,elevated,normal
2012-05-08,elevated,normal,elevated
2012-05-09,normal,elevated,normal
2012-05-18,elevated,normal,elevated
2012-05-21,normal,elevated,normal
2012-06-04,elevated,normal,elevated
2012-06-06,normal,elevated,normal
2012-06-25,elevated,normal,elevated
2012-06-26,normal,elevated,normal
2012-07-20,elevated,normal,elevated
2012-07-24,normal,elevated,normal
2012-07-31,elevated,normal,elevated
2012-08-01,normal,elevated,normal
2012-08-09,elevated,normal,elevated
2012-08-14,normal,elevated,normal
2012-08-27,elevated,normal,elevated
2012-08-29,normal,elevated,normal
2012-09-07,elevated,normal,elevated
2012-09-10,normal,elevated,normal
2012-09-17,elevated,normal,elevated
2012-09-20,normal,elevated,normal
2012-10-01,elevated,normal,elevated
2012-10-03,normal,elevated,normal
2012-10-05,elevated,normal,elevated
2012-10-09,normal,elevated,normal
2012-11-13,elevated,normal,elevated
2012-11-14,normal,elevated,normal
2012-12-03,elevated,normal,elevated
2012-12-04,normal,elevated,normal
2012-12-17,elevated,normal,elevated
2012-12-18,normal,elevated,normal
2012-12-24,elevated,normal,elevated
2012-12-26,normal,elevated,normal
2013-01-14,elevated,normal,elevated
2013-01-15,normal,elevated,normal
2013-01-24,elevated,normal,elevated
2013-01-25,normal,elevated,normal
2013-02-05,elevated,normal,elevated
2013-02-06,normal,elevated,normal
2013-02-21,elevated,normal,elevated
2013-02-26,normal,elevated,normal
2013-04-08,elevated,normal,elevated
2013-04-10,normal,elevated,normal
2013-04-23,elevated,normal,elevated
2013-04-25,normal,elevated,normal
2013-05-29,elevated,normal,elevated
2013-06-03,normal,elevated,normal
2013-06-17,elevated,normal,elevated
2013-06-18,normal,elevated,normal
2013-07-01,elevated,normal,elevated
2013-07-02,normal,elevated,normal
2013-07-30,elevated,normal,elevated
2013-07-31,normal,elevated,normal
2013-08-05,elevated,normal,elevated
2013-08-06,normal,elevated,normal
2013-09-10,elevated,normal,elevated
2013-09-11,normal,elevated,normal
2013-10-22,elevated,normal,elevated
2013-10-23,normal,elevated,normal
2013-12-30,elevated,normal,elevated
2013-12-31,normal,elevated,normal
2014-01-22,elevated,normal,elevated
2014-01-23,normal,elevated,normal
2014-01-31,elevated,normal,elevated
2014-02-04,normal,elevated,normal
2014-02-21,elevated,normal,elevated
2014-02-24,normal,elevated,normal
2014-03-04,elevated,normal,elevated
2014-03-13,normal,elevated,normal
2014-03-24,elevated,normal,elevated
2014-03-25,normal,elevated,normal
2014-04-04,elevated,normal,elevated
2014-04-08,normal,elevated,normal
2014-04-15,elevated,normal,elevated
2014-04-16,normal,elevated,normal
2014-04-21,elevated,normal,elevated
2014-04-23,normal,elevated,normal
2014-06-11,elevated,normal,elevated
2014-06-16,normal,elevated,normal
2014-06-23,elevated,normal,elevated
2014-06-24,normal,elevated,normal
2014-09-10,elevated,normal,elevated
2014-09-11,normal,elevated,normal
2014-09-25,elevated,normal,elevated
2014-09-26,normal,elevated,normal
2014-10-28,elevated,normal,elevated
2014-10-29,normal,elevated,normal
2014-11-06,elevated,normal,elevated
2014-11-07,normal,elevated,normal
2014-11-19,elevated,normal,elevated
2014-11-20,normal,elevated,normal
2014-12-08,elevated,normal,elevated
2014-12-09,normal,elevated,normal
2014-12-16,elevated,normal,elevated
2014-12-17,normal,elevated,normal
2015-01-06,elevated,normal,elevated
2015-01-07,normal,elevated,normal
2015-01-08,elevated,normal,elevated
2015-01-15,normal,elevated,normal
2015-02-13,elevated,normal,elevated
2015-02-18,normal,elevated,normal
2015-02-27,elevated,normal,elevated
2015-03-02,normal,elevated,normal
2015-03-06,elevated,normal,elevated
2015-03-11,normal,elevated,normal
2015-03-17,elevated,normal,elevated
2015-03-19,normal,elevated,normal
2015-05-12,elevated,normal,elevated
2015-05-14,normal,elevated,normal
2015-05-20,elevated,normal,elevated
2015-05-26,normal,elevated,normal
2015-07-07,elevated,normal,elevated
2015-07-09,normal,elevated,normal
2015-07-24,elevated,normal,elevated
2015-07-27,normal,elevated,normal
2015-08-03,elevated,normal,elevated
2015-08-05,normal,elevated,normal
2015-08-17,elevated,normal,elevated
2015-08-26,normal,elevated,normal
2015-09-21,elevated,normal,elevated
2015-09-23,normal,elevated,normal
2015-09-25,elevated,normal,elevated
2015-09-28,normal,elevated,normal
2015-09-30,elevated,normal,elevated
2015-10-01,normal,elevated,normal
2015-10-02,elevated,normal,elevated
2015-10-06,normal,elevated,normal
2015-10-14,elevated,normal,elevated
2015-10-15,normal,elevated,normal
2015-11-03,elevated,normal,elevated
2015-11-04,normal,elevated,normal
2015-11-17,elevated,normal,elevated
2015-11-18,normal,elevated,normal
2015-11-23,elevated,normal,elevated
2015-11-25,normal,elevated,normal
2015-12-09,elevated,normal,elevated
2015-12-15,normal,elevated,normal
2015-12-21,elevated,normal,elevated
2015-12-23,normal,elevated,normal
2016-01-06,elevated,normal,elevated
2016-01-11,normal,elevated,normal
2016-02-01,elevated,normal,elevated
2016-02-08,normal,elevated,normal
2016-02-10,elevated,normal,elevated
2016-02-17,normal,elevated,normal
2016-02-23,elevated,normal,elevated
2016-02-25,normal,elevated,normal
2016-03-03,elevated,normal,elevated
2016-03-07,normal,elevated,normal
2016-03-18,elevated,normal,elevated
2016-03-22,normal,elevated,normal
2016-03-23,elevated,normal,elevated
2016-03-28,normal,elevated,normal
2016-04-14,elevated,normal,elevated
2016-04-18,normal,elevated,normal
2016-04-22,elevated,normal,elevated
2016-04-26,normal,elevated,normal
2016-05-02,elevated,normal,elevated
2016-05-09,normal,elevated,normal
2016-06-01,elevated,normal,elevated
2016-06-06,normal,elevated,normal
2016-06-09,elevated,normal,elevated
2016-06-14,normal,elevated,normal
2016-06-15,elevated,normal,elevated
2016-06-16,normal,elevated,normal
2016-06-24,elevated,normal,elevated
2016-06-28,normal,elevated,normal
2016-07-01,elevated,normal,elevated
2016-07-05,normal,elevated,normal
2016-07-18,elevated,normal,elevated
2016-07-19,normal,elevated,normal
2016-09-08,elevated,normal,elevated
2016-09-12,normal,elevated,normal
2016-09-23,elevated,normal,elevated
2016-09-27,normal,elevated,normal
2016-10-06,elevated,normal,elevated
2016-10-10,normal,elevated,normal
2016-11-04,elevated,normal,elevated
2016-11-07,normal,elevated,normal
2016-11-29,elevated,normal,elevated
2016-11-30,normal,elevated,normal
2016-12-09,elevated,normal,elevated
2016-12-12,normal,elevated,normal
2017-02-01,elevated,normal,elevated
2017-02-07,normal,elevated,normal
2017-03-14,elevated,normal,elevated
2017-03-15,normal,elevated,normal
2017-03-21,elevated,normal,elevated
2017-03-23,normal,elevated,normal
2017-03-24,elevated,normal,elevated
2017-03-27,normal,elevated,normal
2017-03-31,elevated,normal,elevated
2017-04-03,normal,elevated,normal
2017-04-05,elevated,normal,elevated
2017-04-07,normal,elevated,normal
2017-04-27,elevated,normal,elevated
2017-04-28,normal,elevated,normal
2017-05-15,elevated,normal,elevated
2017-05-18,normal,elevated,normal
2017-06-02,elevated,normal,elevated
2017-06-06,normal,elevated,normal
2017-06-26,elevated,normal,elevated
2017-06-27,normal,elevated,normal
2017-07-17,elevated,normal,elevated
2017-07-19,normal,elevated,normal
2017-08-01,elevated,normal,elevated
2017-08-02,normal,elevated,normal
2017-08-24,elevated,normal,elevated
2017-08-25,normal,elevated,normal
2017-09-01,elevated,normal,elevated
2017-09-05,normal,elevated,normal
2017-09-18,elevated,normal,elevated
2017-09-19,normal,elevated,normal
2017-09-21,elevated,normal,elevated
2017-09-27,normal,elevated,normal
2017-10-13,elevated,normal,elevated
2017-10-16,normal,elevated,normal
2017-11-03,elevated,normal,elevated
2017-11-06,normal,elevated,normal
2017-11-13,elevated,normal,elevated
2017-11-14,normal,elevated,normal
2018-06-27,elevated,normal,elevated
2018-06-29,normal,elevated,normal
2018-07-13,elevated,normal,elevated
2018-07-16,normal,elevated,normal
2018-08-10,elevated,normal,elevated
2018-08-14,normal,elevated,normal
2018-08-29,elevated,normal,elevated
2018-08-30,normal,elevated,normal
2018-10-10,elevated,normal,elevated
2018-10-18,normal,elevated,normal
2018-10-25,elevated,normal,elevated
2018-10-30,normal,elevated,normal
2018-11-16,elevated,normal,elevated
2018-11-26,normal,elevated,normal
2018-12-04,elevated,normal,elevated
2018-12-06,normal,elevated,normal
2018-12-07,elevated,normal,elevated
2018-12-11,normal,elevated,normal
2018-12-14,elevated,normal,elevated
2018-12-21,normal,elevated,normal
2018-12-28,elevated,normal,elevated
2019-01-04,normal,elevated,normal
2019-01-14,elevated,normal,elevated
2019-01-16,normal,elevated,normal
2019-02-14,elevated,normal,elevated
2019-02-19,normal,elevated,normal
2019-03-01,elevated,normal,elevated
2019-03-05,normal,elevated,normal
2019-03-06,elevated,normal,elevated
2019-03-07,normal,elevated,normal
2019-03-18,elevated,normal,elevated
2019-03-21,normal,elevated,normal
2019-03-22,elevated,normal,elevated
2019-03-25,normal,elevated,normal
2019-03-28,elevated,normal,elevated
2019-03-29,normal,elevated,normal
2019-04-15,elevated,normal,elevated
2019-04-16,normal,elevated,normal
2019-05-31,elevated,normal,elevated
2019-06-04,normal,elevated,normal
2019-06-26,elevated,normal,elevated
2019-06-28,normal,elevated,normal
2019-07-08,elevated,normal,elevated
2019-07-09,normal,elevated,normal
2019-08-01,elevated,normal,elevated
2019-08-06,normal,elevated,normal
2019-08-07,elevated,normal,elevated
2019-08-09,normal,elevated,normal
2019-08-14,elevated,normal,elevated
2019-08-15,normal,elevated,normal
2019-08-23,elevated,normal,elevated
2019-08-27,normal,elevated,normal
2019-10-02,elevated,normal,elevated
2019-10-08,normal,elevated,normal
2019-11-21,elevated,normal,elevated
2019-11-25,normal,elevated,normal
2020-01-03,elevated,normal,elevated
2020-01-06,normal,elevated,normal
2020-02-20,elevated,normal,elevated
2020-03-02,normal,elevated,normal
2020-03-06,high_volatility,normal,high_volatility
2020-04-24,normal,high_volatility,normal
2020-04-30,elevated,normal,elevated
2020-05-05,normal,elevated,normal
2020-06-10,elevated,normal,elevated
2020-06-16,normal,elevated,normal
2020-06-26,elevated,normal,elevated
2020-06-30,normal,elevated,normal
2020-07-27,elevated,normal,elevated
2020-07-28,normal,elevated,normal
2020-08-05,elevated,normal,elevated
2020-08-07,normal,elevated,normal
2020-08-13,elevated,normal,elevated
2020-08-17,normal,elevated,normal
2020-08-26,elevated,normal,elevated
2020-08-27,normal,elevated,normal
2020-09-03,elevated,normal,elevated
2020-09-09,normal,elevated,normal
2020-09-18,elevated,normal,elevated
2020-09-23,normal,elevated,normal
2020-10-02,elevated,normal,elevated
2020-10-05,normal,elevated,normal
2020-10-15,elevated,normal,elevated
2020-10-19,normal,elevated,normal
2020-12-02,elevated,normal,elevated
2020-12-03,normal,elevated,normal
2021-01-06,elevated,normal,elevated
2021-01-07,normal,elevated,normal
2021-05-12,elevated,normal,elevated
2021-05-13,normal,elevated,normal
2022-03-07,elevated,normal,elevated
2022-03-08,normal,elevated,normal
2023-01-12,low_volatility,normal,low_volatility
2023-02-08,elevated,low_volatility,elevated
2023-02-09,low_volatility,elevated,low_volatility
2023-04-13,elevated,low_volatility,elevated
2023-04-14,low_volatility,elevated,low_volatility
2023-07-10,normal,low_volatility,normal
2023-07-11,low_volatility,normal,low_volatility
2023-10-16,normal,low_volatility,normal
2023-10-17,low_volatility,normal,low_volatility
2025-07-22,normal,low_volatility,normal
2025-08-14,elevated,normal,elevated
